kategori,digit,kode,judul,deskripsi
C,5,13991,Industri Kain Pita (Narrow Fabric),"Kelompok ini mencakup usaha pembuatan kain pita, seperti kain pita, renda, kain label, velcro, dan badges."
C,5,13992,Industri Yang Menghasilkan Kain Keperluan Industri,"Kelompok ini mencakup usaha pembuatan kain dilapisi/ditutupi/diresapi dengan plastik atau karet dan selanjutnya digunakan untuk keperluan industri, seperti kain terpal, kain layar, kain tenda, kain payung, kain kanvas untuk melukis dan kulit imitasi dari media tekstil. "
C,5,13993,Industri Non Woven (bukan Tenunan),"Kelompok ini mencakup usaha industri kain yang dibuat tanpa dengan proses anyaman atau perajutan, seperti kain kempa, kain felting dan kain laken. Termasuk industri kain untuk keperluan pelayanan kesehatan manusia, seperti duk operasi (surgical drape); baju, masker, penutup kepala dan perlengkapan non woven lain untuk operasi; dan pembalut luka non woven. "
C,5,13994,Industri Kain Ban,"Kelompok ini mencakup usaha pembuatan kain ban dari benang sintetik kekuatan tinggi, seperti kain ban dari nylon dan kain ban dari polyester."
C,5,13995,Industri Kapuk,Kelompok ini mencakup usaha pengolahan kapuk.
C,5,13996,Industri Kain Tulle dan Kain Jaring,"Kelompok ini mencakup usaha pembuatan kain tulle, kain trikot, kain bordir, dan kain jaring lainnya. Jaring ikan dikelompokkan ke dalam 13942."
C,5,13999,Industri Tekstil Lainnya YTDL,"Kelompok ini mencakup usaha industri tekstil lainnya yang belum/tidak tercakup dalam golongan industri tekstil manapun, seperti benang karet, benang logam dan pipa/selang kain dan lainnya."
C,2,14,Industri Pakaian Jadi,"Golongan pokok ini mencakup semua pekerjaan menjahit (pakaian siap pakai atau dibuat berdasarkan ukuran/pesanan), dalam semua bahan (seperti kulit, kain tenun, kain rajutan atau sulaman dan lain-lain), dari semua jenis pakaian (seperti pakaian luar; pakaian dalam pria; wanita atau anak-anak; pakaian kerja; dan pakaian santai dan lain-lain) dan asesoris, tidak ada perbedaan dalam pembuatan antara baju untuk anak-anak dan orang dewasa, atau antara pakaian tradisional dan modern. Golongan pokok ini mencakup industri bulu binatang (pakaian dari bulu binatang dan kulit yang berbulu)."
C,3,141,"Industri pakaian jadi dan perlengkapannya, bukan pakaian jadi dari kulit berbulu","Golongan ini mencakup pembuatan pakaian. Bahan yang digunakan berbagai macam seperti bahan dilapisi, di-impregnasi, atau dilapisi karet dan kulit atau kulit campuran, kain woven, rajutan atau tenunan, kain non woven. Bahan tekstil untuk alas kaki tanpa sol. Golongan ini juga mencakup pembuatan pakaian dalam, pakaian tidur, pakaian kerja. Kaus, gaun, blus, pakaian bayi, pakaian olahraga, topi dan peci, dan aksesori pakaian lain (seperti sarung tangan, ikat pinggang, selendang, hairnet dan lain-lain) untuk pria-wanita dan anak-anak,  kegiatan jahit menjahit  dan pembuatan bagian-bagian dari produk yang sudah disebutkan sebelumnya."
C,4,1411,Industri Pakaian Jadi (Bukan Penjahitan dan Pembuatan Pakaian),"Subgolongan ini mencakup industri pakaian jadi. Bahan yang digunakan berbagai macam, seperti bahan yang dilapisi, di-impregnasi atau berkaret.     

Subgolongan ini mencakup:  
- Industri pembuatan pakaian jadi dari kulit atau kulit campuran, termasuk aksesori pakaian dari kulit seperti pakaian kerja las (welder) dari kulit  
- Industri pakaian kerja
- Industri pakaian lainnya yang terbuat dari tenunan, rajutan atau sulaman, bukan tenunan, dan lainnya untuk laki-laki, perempuan, dan anak-anak, seperti jas/mantel, setelan, jaket, celana, rok, dan lainnya 
- Industri pakaian dalam dan pakaian tidur yang terbuat dari kain tenun, kain rajut atau sulaman, kain renda (lace) dan lainnya untuk laki laki, perempuan, dan anak-anak, seperti kemeja, kaos, celana dalam, piyama, baju tidur, kimono, blus, korset, rok dalam, kutang, dan lain-lain 
- Industri pakaian bayi, pakaian olahraga, pakaian ski, pakaian renang dan lain-lain
- Industri bagian dari barang-barang pada subgolongan ini

Subgolongan ini tidak mencakup:  
- Industri pakaian jadi dari kulit berbulu (kecuali tutup kepala), lihat 1420
- Industri pakaian jadi dari karet atau plastik yang tidak dijahit tetapi direkatkan bersamaan, lihat 2219, 2229
- Industri pakaian pelindung dan tahan api, lihat 3290"
C,5,14111,Industri Pakaian Jadi (Konveksi) Dari Tekstil,"Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari tekstil/kain (tenun maupun rajutan) dengan cara memotong dan menjahit sehingga siap dipakai, seperti kemeja, celana, kebaya, blus, rok, baju bayi, pakaian tari dan pakaian olahraga."
C,5,14112,Industri Pakaian Jadi (Konveksi) Dari Kulit,"Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti jaket, mantel, rompi, celana dan rok. Termasuk  pembuatan aksesori pakaian dari kulit seperti pakaian pekerja las (welder) dari kulit."
C,4,1412,Penjahitan dan Pembuatan Pakaian Sesuai Pesanan,"Subgolongan ini mencakup :                 
- Kegiatan penjahitan dan pembuatan pakaian sesuai pesanan 
- Industri bagian dari barang-barang pada subgolongan ini

Subgolongan ini mencakup : 
- Perbaikan pakaian jadi, lihat 9529 "
C,5,14120,Penjahitan Dan Pembuatan Pakaian Sesuai Pesanan,Kelompok ini mencakup usaha penjahitan dan pembuatan pakaian sesuai pesanan yang melayani masyarakat umum  dengan tujuan komersil.
C,4,1413,Industri Perlengkapan Pakaian yang Utamanya Terbuat dari Tekstil,"Subgolongan ini mencakup : 
- Industri topi dan peci
- Industri aksesoris pakaian lainnya, seperti sarung tangan, ikat pinggang/sabuk, syal, dasi, bando, dasi tuksedo, jaring rambut, dan lainnya 
- Industri pelindung kepala dari kulit berbulu 
- Industri alas kaki dari bahan tekstil tanpa sol 
- Industri bagian dari barang-barang pada subgolongan ini 

Subgolongan ini tidak mencakup :  
- Industri alas kaki, lihat 1520
- Industri sarung tangan kulit dan pelindung kepala olahraga, lihat 3230 
- Industri pelindung keselamatan kepala (kecuali pelindung kepala olahraga), lihat 3290 "
C,5,14131,Industri Perlengkapan Pakaian Dari Tekstil,"Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi (konveksi) tekstil dan dari kain dengan cara memotong dan menjahit sehingga siap dipakai, seperti topi, peci, dasi, sarung tangan, mukena, selendang, kerudung, ikat pinggang, syal, bando, dasi tuksedo, jaring rambut, dan lain-lain, baik dari kain tenun maupun kain rajut yang dijahit. Termasuk industri alas kaki dari bahan kain tanpa sol dan bagian-bagian dari produk yang disebutkan sebelumnya."
C,5,14132,Industri Perlengkapan Pakaian Dari Kulit,"Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti topi, sarung tangan, ikat pinggang, bando, jaring rambut, dan lain-lain.  Termasuk industri penutup kepala dari kulit berbulu dan bagian-bagian dari produk yang disebutkan sebelumnya."
C,3,142,Industri pakaian jadi dan barang dari kulit berbulu,"Golongan ini mencakup pembuatan barang-barang dari kulit berbulu seperti pakaian dari kulit berbulu dan aksesori pakaian. Berbagai barang dari kulit berbulu seperti; gambar, kesetan dan lain-lain. Golongan ini tidak  mencakup pengolahan kulit berbulu mentah, kulit dan jangat mentah, pembuatan kulit berbulu imitasi, pengolahan dan pencelupan kulit berbulu dan alas kaki yang bagiannya ada kulit berbulu."
C,4,1420,Industri pakaian jadi dan barang dari kulit berbulu,"Subgolongan ini mencakup :  
- Industri barang-barang yang terbuat dari kulit berbulu, seperti pakaian dan aksesori pakaian dari kulit berbulu; berbagai barang dari kulit berbulu, seperti gambar, tikar, keset, dan lain-lain; barang-barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industri      

Subgolongan ini tidak mencakup :  
- Produksi kulit berbulu mentah, lihat golongan 014 dan 017  
- Produksi kulit dan kulit jangat mentah, lihat 1013  
- Industri kulit berbulu imitasi (pakaian berbulu panjang yang dibuat dengan cara ditenun atau dirajut), lihat 1312,1391  
- Industri pakaian yang dihias dengan kulit berbulu, lihat 1411  
- Industri penutup kepala kulit berbulu, lihat 1413  
- Pengolahan dan pencelupan kulit berbulu, lihat 1511  
- Industri bot atau sepatu yang bagiannya ada kulit berbulu, lihat 1520"
C,5,14200,Industri Pakaian Jadi dan Barang Dari Kulit Berbulu,"Kelompok ini mencakup usaha pembuatan pakaian jadi/barang jadi dari kulit berbulu dan atau perlengkapannya, seperti mantel berbulu, berbagai barang dari kulit berbulu, misalnya gambar, tikar, keset dan barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industri."
C,3,143,Industri pakaian jadi rajutan dan sulaman/bordir,"Golongan ini mencakup pembuatan pakaian  dari  bahan rajutan atau sulaman dan barang-barang jadi lain (seperti sweater, cardigan, kaos, rompi dan barang sejenis), serta kaos kaki, termasuk kaos kaki pendek, stocking dan pantyhose. Golongan ini tidak mencakup pembuatan bahan dari rajutan atau sulaman."
C,4,1430,Industri pakaian jadi rajutan dan sulaman/bordir,"Subgolongan ini mencakup : 
- Industri pembuatan pakaian jadi dari bahan rajutan atau sulaman dan barang-barang jadi lain, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya  
- Industri kaos kaki, termasuk kaos kaki, stocking, pantyhose     

Subgolongan ini tidak mencakup :  
- Industri kain rajutan dan sulaman, lihat 1391"
C,5,14301,Industri Pakaian Jadi Rajutan,"Kelompok ini mencakup usaha pembuatan pakaian jadi, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya, termasuk topi yang dibuat dengan cara dirajut ataupun renda, kecuali industri rajutan kaos kaki."
C,5,14302,Industri Pakaian Jadi Sulaman/Bordir,"Kelompok ini mencakup usaha pakaian jadi sulaman, baik yang dikerjakan dengan tangan maupun dengan mesin."
C,5,14303,Industri Rajutan Kaos Kaki dan Sejenisnya,"Kelompok ini mencakup usaha pembuatan kaos kaki yang dibuat dengan cara rajut ataupun renda, seperti kaos kaki, termasuk kaos kaki, stocking, pantyhose."
C,2,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki","Golongan pokok ini mencakup pengolahan dan pencelupan kulit berbulu dan proses perubahan dari kulit jangat menjadi kulit dengan proses penyamakan atau proses pengawetan dan pengeringan serta pengolahan kulit menjadi produk yang siap pakai, seperti pembuatan koper, tas tangan dan sejenisnya, pakaian dan peralatan hewan yang terbuat dari kulit, dan pembuatan alas kaki. Golongan pokok ini juga mencakup pembuatan produk sejenisnya dari bahan lain (kulit imitasi atau kulit tiruan), seperti alas kaki dari bahan karet, koper dari tekstil dan lain-lain. Barang-barang terbuat dari kulit tiruan termasuk di sini, asalkan cara pembuatannya sama dengan produk kulit dibuat (koper), dan biasanya di produksi oleh unit yang sama."
C,3,151,"Industri kulit dan barang dari kulit, termasuk kulit buatan",Golongan ini mencakup pembuatan kulit dan kulit berbulu dan barang-barang yang terbuat dari padanya.
C,4,1511,"Industri Kulit dan Kulit Komposisi, Termasuk Pencelupan Kulit Berbulu","Subgolongan ini mencakup :  
- Penyamakan, pencelupan dan pengolahan kulit dan kulit jangat  
- Industri pengolahan simlir (chamois), pengolahan perkamen, kulit yang dimetalisasi atau dipatenkan  
- Industri kulit komposisi
- Pembersihan, pencukuran, pencabutan, penggaraman, penyamakan, pengelantangan, dan pencelupan kulit berbulu dan kulit jangat yang berambut
   
Subgolongan ini tidak mencakup :  
- Produksi kulit dan kulit jangat sebagai bagian dari peternakan, lihat golongan 014  
- Produksi kulit dan kulit jangat sebagai bagian dari penyembelihan, lihat 1013
- Industri kulit buatan/imitasi yang berbahan utama tekstil, lihat 1399
- Industri pakaian dari kulit, lihat 1411
- Industri kulit imitasi yang bahan dasarnya bukan kulit asli, lihat 2219, 2229"
C,5,15111,Industri Pengawetan Kulit,"Kelompok ini mencakup usaha pengawetan kulit yang berasal dari hewan besar, hewan kecil, reptil, ikan dan hewan lainnya, baik yang dilakukan dengan pengeringan, penggaraman, maupun pengasaman (pikel), seperti kulit hewan besar (sapi, kerbau), kulit hewan kecil (domba, kambing), kulit reptil (buaya, ular, biawak), kulit ikan (ikan pari,hiu/cucut, kakap, belut) dan kulit hewan lainnya. "
C,5,15112,Industri Penyamakan Kulit,"Kelompok ini mencakup usaha penyamakan kulit yang berasal dari ternak besar (sapi, kerbau), ternak kecil (domba, kambing), reptil (buaya, ular, biawak), ikan (ikan pari, hiu cucut, kakap, belut) dan hewan lainnya yang dimasak dengan chrome nabati, sintetis, samak minyak dan samak kombinasi menjadi kulit tersamak, seperti wet blue, crust, sol, vache raam, kulit box, kulit beludru, kulit gelase dan kulit hiasan, kulit berbulu, kulit laminasi, kulit patent, kulit jaket, kulit sarung tangan, kulit chamois dan lainnya."
C,5,15113,Industri Pencelupan Kulit Bulu,Kelompok ini mencakup usaha pemberian warna atau pencelupan pada kulit bulu yang digunakan pada barang jadi kulit.
C,5,15114,Industri Kulit Komposisi,Kelompok ini mencakup usaha pembuatan kulit komposisi yang berasal dari potongan/remahan kulit hewan yang direkatkan kembali. Industri kulit buatan/imitasi yang berbahan utama tekstil dimasukkan dalam kelompok 13992. Industri kulit buatan/imitasi yang berbahan utama karet dimasukkan dalam kelompok 2219; dan industri kulit buatan/imitasi yang berbahan utama plastik dimasukkan dalam kelompok 2229.
C,4,1512,"Industri Barang dari Kulit dan Kulit Komposisi, Koper, Tas Tangan dan Sejenisnya, Pelana dan Alat Pengekang (Harness)","Subgolongan ini mencakup :  
- Industri tas koper, tas tangan dan sejenisnya dari kulit, kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard dimana menggunakan teknologi yang sama yang digunakan pada kulit 
- Industri pelana dan alat pengekang kuda, dan lainnya 
- Industri tali jam yang bukan metalik seperti kain, kulit, dan plastik 
- Industri bermacam-macam barang yang terbuat dari kulit atau kulit komposisi, seperti sabuk pengaman, alat pengepak dan lain-lain   
- Industri tali sepatu dari kulit
- Industri cambuk kuda dan cambuk untuk membajak sawah     

Subgolongan ini tidak mencakup :  
- Industri pakaian dari kulit, lihat 1411
- Industri sarung tangan dan topi dari kulit, lihat 1413  
- Industri alas kaki, lihat 1520
- Industri sadel sepeda, lihat 3092
- Industri tali jam dari logam mulia, lihat 3211
- Industri tali jam dari logam tidak murni, lihat 3212
- Industri sabuk pengaman teknisi listrik dan komunikasi (linemen) dan sabuk lainnya yang berhubungan dengan keperluan pekerjaan, lihat 3290"
C,5,15121,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Pribadi,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard untuk keperluan pribadi, seperti koper, ransel, tas, dompet, kotak rias, sarung senjata, tempat kaca mata dan tali jam. Termasuk industri tali sepatu kulit."
C,5,15122,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Teknik/Industri,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan teknik/industri, seperti klep, packing, rem pickers, sarung tangan kerja, kulit pompa, kulit ban mesin (belt), kulit apron dan sisir kulit pada mesin (combing leather)."
C,5,15123,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Hewan,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan hewan, seperti ikat leher hewan, tali kekang hewan, pelana hewan, brongsong mulut hewan, cambuk dan sepatu hewan."
C,5,15129,Industri Barang Dari Kulit Dan Kulit Komposisi Untuk Keperluan Lainnya,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan yang belum terliput dalam kelompok 15121 sampai dengan 15123, seperti jok, sabuk pengaman, alat pengepak dan kerajinan tatah sungging (hiasan, wayang dan kap lampu) dan lain-lain."
C,3,152,Industri alas kaki,"Golongan ini mencakup pembuatan alas kaki untuk semua kebutuhan, pembuatan bagian alas kaki dari kulit dan barang-barang sejenis, kecuali bagian alas kaki yang terbuat dari plastik, kayu dan karet"
C,4,1520,Industri Alas Kaki,"Subgolongan ini mencakup :  
- Industri alas kaki untuk berbagai kegunaan dari segala macam bahan, dengan berbagai proses, termasuk pencetakan (lihat pengecualian di bawah ini)  
- Industri bagian alas kaki dari kulit, seperti industri bagian atas alas kaki, bagian luar dan dalam sol, hak dan lain-lain  
- Industri gaiter, legging dan barang sejenisnya     

Subgolongan ini tidak mencakup :  
- Industri alas kaki dari bahan tekstil tanpa sol terpasang, lihat 1413  
- Industri bagian sepatu yang terbuat dari kayu (contoh hak sepatu), lihat 1629  
- Industri bot karet, dan sol karet, hak karet serta bagian alas kaki lain yang terbuat dari karet, lihat 2219  
- Industri bagian alas kaki yang terbuat dari plastik, lihat 2229  
- Industri sepatu bot ski, lihat 3230
- Industri sepatu ortopedik, lihat 3250"
C,5,15201,Industri Alas Kaki Untuk Keperluan Sehari-hari,"Kelompok ini mencakup usaha pembuatan alas kaki keperluan sehari-hari dari kulit dan kulit buatan, karet, kanvas dan kayu, seperti sepatu harian, sepatu santai (casual shoes), sepatu sandal, sandal kelom dan selop. Termasuk juga usaha pembuatan bagian-bagian dari alas kaki tersebut, seperti atasan, sol dalam, sol luar, penguat depan, penguat tengah, penguat belakang, lapisan dan aksesori dari kulit dan kulit buatan."
C,5,15202,Industri Sepatu Olahraga,"Kelompok ini mencakup usaha pembuatan sepatu untuk olahraga dari kulit dan kulit buatan, karet dan kanvas, seperti sepatu sepak bola, sepatu atletik, sepatu senam, sepatu jogging dan sepatu ballet. Termasuk juga usaha pembuatan bagian bagian dari sepatu olahraga tersebut, meliputi atasan, sol luar, sol dalam, lapisan dan aksesori."
C,5,15203,Industri Sepatu Teknik Lapangan/Keperluan Industri,"Kelompok ini mencakup usaha pembuatan sepatu termasuk pembuatan bagian-bagian dari sepatu untuk keperluan teknik lapangan/industri dari kulit, kulit buatan, karet dan plastik,  seperti sepatu tahan kimia, sepatu tahan panas, sepatu pengaman."
C,5,15209,Industri Alas Kaki Lainnya,"Kelompok ini mencakup usaha pembuatan alas kaki lainnya yang belum termasuk golongan manapun, seperti sepatu kesehatan dan sepatu lainnya, misalnya sepatu dari gedebog (pelepah batang pisang) dan eceng gondok. Termasuk industri gaiter, legging dan barang sejenisnya."
C,2,16,"Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya","Golongan pokok ini mencakup pembuatan barang-barang dari kayu. Kebanyakan digunakan untuk konstruksi dan juga mencakup berbagai proses pengerjaan dari penggergajian sampai pembentukan dan perakitan barang-barang dari kayu, dan dari perakitan sampai produk jadi seperti kontainer kayu. Terkecuali penggergajian, golongan pokok ini terbagi lagi sebagian besar didasarkan pada produk spesifik yang dihasilkan. Golongan pokok ini tidak mencakup pembuatan mebeler, atau perakitan/pemasangan perabot kayu dan sejenisnya."
C,3,161,"Industri penggergajian dan pengawetan kayu, rotan, bambu dan sejenisnya","Golongan ini mencakup proses pengerjaan dari penggergajian kayu dan batang kayu sampai proses selanjutnya, pembuatan bantalan kayu rel kereta api, bahan kayu untuk lantai yang belum dirakit, wol kayu, tepung kayu, irisan dan partikel kayu. Golongan ini juga mencakup pengeringan kayu dan pengolahan secara kimia dan perendaman kayu dengan bahan pengawet dari bahan lainnya. Golongan ini tidak mencakup penggergajian kayu dan produksi kayu kasar (lihat 022), pembuatan lembaran tipis veneer (lapisan) yang dipakai dalam plywood (triplek), papan dan panel, sirap dan shakes, beading dan kayu cetakan."
C,4,1610,"Industri Penggergajian dan Pengawetan Kayu, Rotan, Bambu dan Sejenisnya","Subgolongan ini mencakup :  
- Penggergajian kayu dengan mesin
- Pengirisan, pengulitan dan pemotongan kayu gelondongan  
- Industri kayu untuk bantalan rel kereta
- Industri bahan baku untuk pembuatan lantai kayu
- Industri wol kayu, tepung kayu, irisan dan partikel kayu    

Subgolongan ini juga mencakup :   
- Pengeringan kayu (pengawetan)
- Pengolahan kimia dan perendaman kayu dengan bahan pengawet atau bahan lainnya     

Subgolongan ini tidak mencakup :  
- Penebangan kayu dan produksi kayu dalam keadaan kasar, lihat 0220  
- Industri lembaran lapisan veneer (kayu halus) yang cukup tipis yang digunakan dalam pembuatan triplek, papan dan panel, lihat 1621  
- Industri atap sirap, manik-manik kayu dan papan hias tembok, lihat 1622"
C,5,16101,Industri Penggergajian Kayu,"Kelompok ini mencakup usaha penggergajian, pengirisan, pengulitan dan pemotongan kayu gelondongan menjadi balok, kaso (usuk), reng, papan dan sebagainya. Termasuk industri kayu untuk bantalan rel kereta dan bahan baku untuk pembuatan lantai kayu."
C,5,16102,Industri Pengawetan Kayu,"Kelompok ini mencakup usaha pengawetan kayu dengan cara pengeringan kayu, pengolahan kimia dan perendaman kayu dengan bahan pengawet atau bahan lainnya."
C,5,16103,"Industri Pengawetan Rotan, Bambu Dan Sejenisnya","Kelompok ini mencakup usaha pengawetan rotan, bambu dan sejenisnya."
C,5,16104,Industri Pengolahan Rotan,"Kelompok ini mencakup usaha pengolahan rotan menjadi bahan setengah jadi, seperti rotan poles, hati rotan dan kulit rotan."
C,5,16105,Industri Partikel Kayu dan Sejenisnya,"Kelompok ini mencakup usaha pembuatan partikel kayu dan sejenisnya seperti wol kayu, tepung kayu, dan irisan atau serpih kayu (woodchips)."
C,3,162,"Industri Barang dari Kayu; Industri Barang dari Gabus dan barang anyaman dari jerami, rotan, bambu dan sejenis lainnya","Golongan ini mencakup pembuatan barang-barang dari kayu, barang-barang anyaman dari bambu, rotan dan sejenisnya, termasuk bentuk dasar seperti barang rakitan. Golongan ini juga mencakup pembuatan lembaran tipis veneer (lapisan), plywood (triplek), barang-barang kayu yang dimaksudkan untuk digunakan konstruksi, pembuatan kontainer kayu kecuali koper. Barang kayu lainnya, pembuatan barang-barang dari kayu gabus, jerami  dan barang anyaman lainnya."
C,4,1621,"Industri Veneer, Kayu Lapis, Kayu Laminasi dan sejenisnya","Subgolongan ini mencakup :  
- Industri lembaran veneer (kayu halus) yang cukup tipis yang digunakan untuk melapisi, membuat triplek atau kegunaan lainnya, meliputi proses pelicinan, pencelupan, pelapisan, pengisian, penguatan (baik dengan kertas atau kain) dan dibuat dalam bentuk motif  
- Industri triplek, panel veneer (kayu halus) dan jenis papan dan lembaran berlapis kayu  
- Industri papan partikel dan papan serat
- Industri kayu yang dipadatkan 
- Industri kayu laminasi "
C,5,16211,Industri Kayu Lapis,"Kelompok ini mencakup usaha pembuatan kayu lapis biasa, seperti kayu lapis tripleks, multipleks, kayu lapis interior, eksterior dan sejenisnya. Termasuk juga kayu lapis konstruksi, seperti kayu lapis cetak beton, kayu lapis tahan air dan sejenisnya."
C,5,16212,"Industri Kayu Lapis Laminasi, Termasuk Decorative Plywood","Kelompok ini mencakup usaha pembuatan kayu lapis yang dilaminasi, seperti teak wood, rose wood, polyester plywood dan sejenisnya. Termasuk juga bambu lapis yang dilaminasi."
C,5,16213,Industri Panel Kayu Lainnya,"Kelompok ini mencakup usaha pembuatan panel kayu lainnya, seperti particle board, chip board, fibre board, Medium Density Fibreboard (MDF) dan sejenisnya."
C,5,16214,Industri Veneer,"Kelompok ini mencakup usaha pembuatan serutan pelapis (veneer) dengan cara pengupasan (rotary), penyayatan (slicer) dan sejenisnya."
C,5,16215,Industri Kayu Laminasi,"Kelompok ini mencakup industri kayu laminasi seperti barecore, blockboard, dan lamin board."
C,4,1622,Industri Barang Bangunan Dari Kayu,"Subgolongan ini mencakup :  
- Industri komponen bahan bangunan dari kayu yang digunakan utamanya untuk industri konstruksi, seperti balok, kaso, rangka atap yang dihaluskan keempat sisinya; tiang penopang yang dibuat dari kayu secara bilah sambung (finger joint) dengan perekat atau dihubungkan dengan logam (metal); profil dan moulding kayu; daun pintu/jendela dan rangkanya (kusen) baik yang mengandung bahan logam atau tidak, seperti engsel, kunci dan sebagainya; tangga, susuran tangga; manik-manik dari kayu dan papan penghias tembok dan papan nama; atap sirap, lantai kayu siap pasang 
- Industri rumah/bangunan pabrikan atau prefabrikasi atau elemen-elemennya yang didominasi oleh kayu
- Industri rumah bergerak
- Industri partisi kayu (tidak termasuk penyekat ruangan yang berdiri sendiri/furnitur)    

Subgolongan ini tidak mencakup :  
- Industri bahan baku untuk pembuatan lantai kayu, lihat 1610
- Industri lemari dapur (kabinet), rak buku, lemari pakaian dan sebagainya, lihat 3100  
- Industri partisi kayu, penyekat ruangan yang berdiri sendiri/furnitur, lihat 3100"
C,5,16221,Industri Barang Bangunan Dari Kayu,"Kelompok ini mencakup industri komponen bahan bangunan dari kayu yang digunakan utamanya untuk industri konstruksi, seperti balok, kaso, rangka atap yang dihaluskan keempat sisinya; tiang penopang yang dibuat dari kayu secara bilah sambung (finger joint) dengan perekat atau dihubungkan dengan logam (metal); profil dan moulding kayu, daun pintu/jendela dan rangkanya (kusen), tangga dan susuran tangga, manik-manik dari kayu dan papan penghias tembok dan papan nama; atap sirap, lantai kayu siap pasang yang terbuat dari kayu solid (solid wood) atau engineering wood; serta pengerjaan kayu untuk bahan bangunan lainnya. "
C,5,16222,Industri Bangunan Prafabrikasi Dari Kayu,Kelompok ini mencakup usaha pengerjaan kayu untuk bangunan prafabrikasi. Termasuk industri rumah bergerak dan partisi kayu (tidak termasuk penyekat ruangan yang berdiri sendiri/furnitur)
C,4,1623,Industri Wadah dari Kayu,"Subgolongan ini mencakup :  
- Industri kotak kemas, boks, peti kayu, drum kayu dan kemasan sejenisnya dari kayu  
- Industri palet (pallets), kotak palet dan papan muat dari kayu lainnya 
- Industri barel, tong, ember dan produk dari kayu lainnya 
- Industri gulungan kawat dari kayu    

Subgolongan ini tidak mencakup :  
- Industri tas koper (luggage), lihat 1512 
- Industri wadah dari bahan anyaman, lihat 1629"
C,5,16230,Industri Wadah Dari Kayu,"Kelompok ini mencakup usaha pembuatan segala macam wadah atau peti/kotak dari kayu untuk pengemasan, seperti kotak kemas, boks, peti kayu, drum kayu dan kemasan sejenisnya dari kayu; palet (pallets), kotak palet dan papan muat dari kayu lainnya; barel, tong, ember dan produk dari kayu lainnya; dan gulungan kawat dari kayu."
C,4,1629,"Industri Barang Lainnya dari Kayu; Industri Barang dari Gabus dan Barang Anyaman dari Jerami, Rotan, Bambu dan Sejenisnya","Subgolongan ini mencakup :  
- Industri berbagai macam barang dari kayu, seperti gagang atau badan untuk perkakas, sapu, sikat; bagian dari bot dan sepatu (seperti hak dan alas sepatu); gantungan baju, frame cermin dan pigura dari kayu, frame kanvas; gagang payung, tongkat dan sejenisnya; peralatan rumah tangga dan peralatan dapur dari kayu; patung dan ornamen dari kayu; kotak kayu untuk perhiasan, alat makan seperti sendok, garpu dan pisau dan barang sejenisnya; kumparan dari kayu, gulungan benang jahit dan barang sejenisnya dari kayu; kayu cetakan untuk pembuatan pipa rokok dan barang lainnya dari kayu  
- Pengolahan gabus alami, industri gabus aglomerasi  
- Industri barang dari gabus alami atau gabus aglomerasi, termasuk penutup lantai dari gabus  
- Industri bahan anyaman dan barang dari bahan anyaman, seperti keset kaki, tikar, kasa/tabir, wadah dan sebagainya  
- Industri keranjang dan barang anyaman
- Industri kayu bakar, dibuat dari kayu atau bahan substitusi seperti ampas kopi atau biji kedelai yang dipres    

Subgolongan ini tidak mencakup :  
- Industri keset kaki atau tikar dari bahan tekstil, lihat 1392  
- Industri tas koper (luggage), lihat 1512
- Industri alas kaki dari kayu, lihat 1520
- Industri korek api, lihat 2029
- Industri case (badan) jam dinding, lihat 2652
- Industri alat penggulung benang dari kayu yang menjadi bagian dari mesin tekstil, lihat 2826  
- Industri furnitur, lihat 3100
- Industri mainan dari kayu, lihat 3240
- Industri pelampung gabus, lihat 3290
- Industri sikat dan sapu, lihat 3290
- Industri peti mati, lihat 3290"
